59
20	0	2	0	80	1000000000
40	0	2	0	80	1000000000
60	0	2	0	80	1000000000
80	0	2	0	80	1000000000
100	0	2	0	80	1000000000
120	0	2	0	80	1000000000
140	0	2	0	80	1000000000
160	0	2	0	80	1000000000
180	0	2	0	80	1000000000
200	0	2	0	80	1000000000
220	0	2	0	80	1000000000
240	0	2	0	80	1000000000
260	0	2	0	80	1000000000
280	0	2	0	80	1000000000
300	0	2	0	80	1000000000
320	0	2	0	80	1000000000
340	0	2	0	80	1000000000
360	0	2	0	80	1000000000
380	0	2	0	80	1000000000
400	0	2	0	80	1000000000
420	0	2	0	80	1000000000
440	0	2	0	80	1000000000
460	0	2	0	80	1000000000
480	0	2	0	80	1000000000
500	0	2	0	80	1000000000
520	0	2	0	80	1000000000
540	0	2	0	80	1000000000
560	0	2	0	80	1000000000
580	0	2	0	80	1000000000
600	0	2	0	80	1000000000
620	0	2	0	80	1000000000
640	0	2	0	80	1000000000
660	0	2	0	80	1000000000
680	0	2	0	80	1000000000
700	0	2	0	80	1000000000
720	0	2	0	80	1000000000
740	0	2	0	80	1000000000
760	0	2	0	80	1000000000
780	0	2	0	80	1000000000
800	0	2	0	80	1000000000
820	0	2	0	80	1000000000
840	0	2	0	80	1000000000
860	0	2	0	80	1000000000
880	0	2	0	80	1000000000
900	0	2	0	80	1000000000
920	0	2	0	80	1000000000
940	0	2	0	80	1000000000
960	0	2	0	80	1000000000
980	0	2	0	80	1000000000
1000	0	2	0	80	1000000000
1020	0	2	0	80	1000000000
1040	0	2	0	80	1000000000
1060	0	2	0	80	1000000000
1080	0	2	0	80	1000000000
1100	0	2	0	80	1000000000
1120	0	2	0	80	1000000000
1140	0	2	0	80	1000000000
1160	0	2	0	80	1000000000
1180	0	2	0	80	1000000000
